Zmienna;Typ informacji;Jednostka terytorialna;Płeć;Wiek - pojedyncze roczniki;Szereg czasowy;Wartość
Ludność;[osoba];POLSKA;Mężczyźni;96 lat;2001;799
Ludność;[osoba];POLSKA;Kobiety;86 lat;2001;35227
Ludność;[osoba];POLSKA;Ogółem;51 lat;2001;572411
Ludność;[osoba];POLSKA;Ogółem;46 lat;2001;640050
Ludność;[osoba];POLSKA;Kobiety;20 lat;2001;312334
Ludność;[osoba];POLSKA;Kobiety;15 lat;2001;300778
Ludność;[osoba];POLSKA;Kobiety;1 rok;2001;183428
Ludność;[osoba];POLSKA;Kobiety;37 lat;2001;244439
Ludność;[osoba];POLSKA;Kobiety;31 lat;2001;246784
Ludność;[osoba];POLSKA;Kobiety;26 lat;2001;293562
Ludność;[osoba];POLSKA;Kobiety;42 lata;2001;300725
Ludność;[osoba];POLSKA;Kobiety;2 lata;2001;185701
Ludność;[osoba];POLSKA;Kobiety;97 lat;2001;2159
Ludność;[osoba];POLSKA;Kobiety;41 lat;2001;283734
Ludność;[osoba];POLSKA;Kobiety;36 lat;2001;238319
Ludność;[osoba];POLSKA;Kobiety;30 lat;2001;253183
Ludność;[osoba];POLSKA;Kobiety;25 lat;2001;302676
Ludność;[osoba];POLSKA;Ogółem;89 lat;2001;37836
Ludność;[osoba];POLSKA;Ogółem;47 lat;2001;617969
Ludność;[osoba];POLSKA;Ogółem;94 lata;2001;8863
Ludność;[osoba];POLSKA;Kobiety;87 lat;2001;38540
Ludność;[osoba];POLSKA;Ogółem;63 lata;2001;331130
Ludność;[osoba];POLSKA;Mężczyźni;34 lata;2001;237465
Ludność;[osoba];POLSKA;Mężczyźni;29 lat;2001;271931
Ludność;[osoba];POLSKA;Mężczyźni;23 lata;2001;314173
Ludność;[osoba];POLSKA;Mężczyźni;45 lat;2001;314492
Ludność;[osoba];POLSKA;Kobiety;92 lata;2001;12833
Ludność;[osoba];POLSKA;Mężczyźni;4 lata;2001;208907
Ludność;[osoba];POLSKA;Kobiety;58 lat;2001;164047
Ludność;[osoba];POLSKA;Kobiety;82 lata;2001;66243
Ludność;[osoba];POLSKA;Kobiety;52 lata;2001;280970
Ludność;[osoba];POLSKA;Kobiety;77 lat;2001;130639
Ludność;[osoba];POLSKA;Kobiety;71 lat;2001;183821
Ludność;[osoba];POLSKA;Kobiety;88 lat;2001;32675
Ludność;[osoba];POLSKA;Ogółem;45 lat;2001;634150
Ludność;[osoba];POLSKA;Ogółem;76 lat;2001;226384
Ludność;[osoba];POLSKA;Ogółem;50 lat;2001;595413
Ludność;[osoba];POLSKA;Ogółem;81 lat;2001;119703
Ludność;[osoba];POLSKA;Ogółem;70 lat;2001;308745
Ludność;[osoba];POLSKA;Ogółem;61 lat;2001;334190
Ludność;[osoba];POLSKA;Mężczyźni;70 lat;2001;128254
Ludność;[osoba];POLSKA;Mężczyźni;16 lat;2001;337763
Ludność;[osoba];POLSKA;Mężczyźni;91 lat;2001;5823
Ludność;[osoba];POLSKA;Mężczyźni;21 lat;2001;327584
Ludność;[osoba];POLSKA;Mężczyźni;10 lat;2001;274654
Ludność;[osoba];POLSKA;Mężczyźni;38 lat;2001;255115
Ludność;[osoba];POLSKA;Mężczyźni;32 lata;2001;243869
Ludność;[osoba];POLSKA;Mężczyźni;14 lat;2001;300271
Ludność;[osoba];POLSKA;Ogółem;14 lat;2001;585168
Ludność;[osoba];POLSKA;Mężczyźni;0lat;2001;185902
Ludność;[osoba];POLSKA;Mężczyźni;25 lat;2001;311482
Ludność;[osoba];POLSKA;Mężczyźni;30 lat;2001;259760
Ludność;[osoba];POLSKA;Mężczyźni;100 lat i więcej;2001;291
Ludność;[osoba];POLSKA;Mężczyźni;9 lat;2001;258396
Ludność;[osoba];POLSKA;Mężczyźni;19 lat;2001;340133
Ludność;[osoba];POLSKA;Kobiety;64 lata;2001;185336
