Zmienna;Typ informacji;Jednostka terytorialna;Szereg czasowy;Wartość
Gęstość zaludnienia;[osoba/km2];WIELKOPOLSKIE;2021;117,0
Gęstość zaludnienia;[osoba/km2];WARMIŃSKO-MAZURSKIE;2021;57,0
Gęstość zaludnienia;[osoba/km2];MAZOWIECKIE;2021;155,0
Gęstość zaludnienia;[osoba/km2];ŚLĄSKIE;2021;355,0
Gęstość zaludnienia;[osoba/km2];KUJAWSKO-POMORSKIE;2021;112,0
Gęstość zaludnienia;[osoba/km2];PODKARPACKIE;2021;117,0
Gęstość zaludnienia;[osoba/km2];DOLNOŚLĄSKIE;2021;145,0
Gęstość zaludnienia;[osoba/km2];ŚWIĘTOKRZYSKIE;2021;101,0
Gęstość zaludnienia;[osoba/km2];ZACHODNIOPOMORSKIE;2021;72,0
Gęstość zaludnienia;[osoba/km2];ŁÓDZKIE;2021;131,0
Gęstość zaludnienia;[osoba/km2];LUBUSKIE;2021;70,0
Gęstość zaludnienia;[osoba/km2];POMORSKIE;2021;129,0
Gęstość zaludnienia;[osoba/km2];PODLASKIE;2021;57,0
Gęstość zaludnienia;[osoba/km2];MAŁOPOLSKIE;2021;226,0
Gęstość zaludnienia;[osoba/km2];OPOLSKIE;2021;101,0
Gęstość zaludnienia;[osoba/km2];LUBELSKIE;2021;81,0
